date_scraped,listing_type,expose_url,title,street,zipcode,cold_rent,warm_rent,rooms,square_meter,house_type,floor,year_built,object_condition,heating_type,pets_allowed,has_parking
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/79468594,2 Bedroom Apartment Junior,"Otto-Braun Strasse 67,","10178 Berlin Mitte, Mitte (Mitte)",3390,3390,4,55,,,2013,Gepflegt,Fußbodenheizung,Ja,6 Garagen
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118479119,Vierraumwohnung im EG // EBK + ZWEI Terrassen + Erstbezug,"Heidestraße 19,","10557 Berlin, Tiergarten (Tiergarten)","2006,53","2353,48",4,"115,65",Erdgeschosswohnung,0 von 6,2019,Erstbezug,Fernwärme,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118737050,"Neubau, Erstbezug, möbliert, befristet, zentral","Genthiner Str. 46,","10785 Berlin, Tiergarten (Tiergarten)",895,895,1,42,Etagenwohnung,2,,Erstbezug,,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118490630,"mit blick auf die museumsinsel, die spree und den berliner dom (7.1 u. 7.3)",,"10178 Berlin, Mitte (Mitte)","6062,05","7762,05","8,5","391,1",Penthouse,7 von 8,2005,Neuwertig,Zentralheizung,Nach Vereinbarung,3 Tiefgaragen-Stellplätze
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/108982092,"Hier brauchen Sie nur noch einziehen, denn ich bin vollmöbliert!!","Paul-Robeson-Strasse 43,","10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)",1299,1489,2,"73,41",Etagenwohnung,4 von 6,1901,Gepflegt,Zentralheizung,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118505501,Erstbezug im Königstadt-Quartier! Geräumige 3-Zimmerwohnung in Friedrichshain,"Pauline-Staegemann-Str. 4,","10249 Berlin, Friedrichshain (Friedrichshain)",1685,1975,3,89,Etagenwohnung,2 von 9,2020,Erstbezug,Fernwärme,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/114019935,"In Berlins bester, historischer Lage, 2 Dachterrassen, Concierge und TG-Stellplatz",,"10117 Berlin, Mitte (Mitte)",4400,"5322,50",3,123,Etagenwohnung,,2019,Erstbezug,Fußbodenheizung,,1 Tiefgaragen-Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/114012650,"360 Grad Blick auf Berlins historische Mitte: Penthouse mit Belvedere, Komfort pur, Concierge u.v.m.",,"10117 Berlin, Mitte (Mitte)",5100,"6022,50",2,123,Penthouse,,2019,Erstbezug,Fußbodenheizung,,1 Tiefgaragen-Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/115478066,"Luisenpark - 4 Zimmer mit Terrasse, Einbauküche, 2 Bädern im Erstbezug","Stallschreiberstraße 27,","10179 Berlin, Mitte (Mitte)",1799,2179,4,"95,8",Etagenwohnung,0,2019,Erstbezug,Fußbodenheizung,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118516836,Traumhafte Dachgeschosswohnung!!! +3 Zimmer + Terrasse + familienfreundliches Umfeld,"Mariendorfer Weg 50,","12051 Berlin, Neukölln (Neukölln)","1563,89","1783,89",3,"90,66",Etagenwohnung,6,2019,,Zentralheizung,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117359671,Wohlfühlkomfort *5 Zimmer mit Balkon und EBK*,"Heidestraße 19,","10557 Berlin, Tiergarten (Tiergarten)","2399,65","2752,54",5,"117,63",Etagenwohnung,4 von 6,2019,Erstbezug,Fernwärme,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/88628990,2-Zimmer-Apartment mit großzügiger Terrasse am Leipziger Platz mit hauseigenem Gym for free,"Leipziger Platz 12,","10117 Berlin, Mitte (Mitte)","1929,50","2331,49",2,"89,33",Terrassenwohnung,3 von 1,2015,Neuwertig,Fußbodenheizung,Ja,1 Tiefgaragen-Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/108376992,**Hochwertige 2-Zimmer-Wohnung in der pulsierenden Mitte Berlins mit tollem Ausblick!**,"Voßstr. 25,","10117 Berlin, Mitte (Mitte)","1170,59","1447,84",2,"61,61",Etagenwohnung,3 von 1,2015,Neuwertig,Fußbodenheizung,Nach Vereinbarung,Tiefgaragen-Stellplatz
